frame_index,time_sec,dx,dy,cumulative_dx,cumulative_dy,response,used_fallback,method,segment_id
92,30.67,-51.8349,11.0201,-5517.1336,211.3647,0.6233,0,phase,0
93,31.00,-40.3952,8.3969,-5557.5287,219.7617,0.7540,0,phase,0
94,31.33,-65.2382,15.4842,-5622.7670,235.2459,0.7808,0,phase,0
95,31.67,-74.8113,-17.9661,-5697.5783,217.2798,0.6472,0,phase,0
96,32.00,-113.2789,-27.7725,-5810.8572,189.5073,0.4591,0,phase,0
97,32.33,-127.3732,-8.6065,-5938.2304,180.9008,0.3456,0,phase,0
98,32.67,-132.0273,-1.5700,-6070.2577,179.3308,0.2499,0,phase,0
99,33.00,-92.5514,0.9927,-6162.8091,180.3236,0.3745,0,phase,0
100,33.33,-71.8842,12.2030,-6234.6933,192.5266,0.5873,0,phase,0
101,33.67,-61.2592,25.5229,-6295.9526,218.0495,0.4788,0,phase,0
102,34.00,-43.7560,23.6624,-6339.7086,241.7119,0.5498,0,phase,0
103,34.33,-35.6118,12.9298,-6375.3204,254.6417,0.3787,0,phase,0
104,34.67,-26.8739,-11.9538,-6402.1943,242.6879,0.3984,0,phase,0
105,35.00,-41.8857,-15.3636,-6444.0800,227.3242,0.8003,0,phase,0
106,35.33,-57.6496,-12.7188,-6501.7295,214.6055,0.8182,0,phase,0
107,35.67,-83.9712,9.1010,-6585.7007,223.7065,0.7522,0,phase,0
108,36.00,-79.3337,39.9919,-6665.0345,263.6984,0.6005,0,phase,0
109,36.33,-78.0175,-15.4420,-6743.0519,248.2564,0.4006,0,phase,0
110,36.67,-72.4260,-5.3142,-6815.4779,242.9422,0.2353,0,phase,0
111,37.00,-67.8280,-4.4291,-6883.3060,238.5131,0.3232,0,phase,0
112,37.33,-58.4156,-0.1720,-6941.7216,238.3411,0.5091,0,phase,0
113,37.67,-75.8933,7.3053,-7017.6149,245.6463,0.6275,0,phase,0
114,38.00,-84.1921,0.7152,-7101.8070,246.3616,0.7111,0,phase,0
115,38.33,-96.4022,-5.1955,-7198.2092,241.1661,0.6593,0,phase,0
116,38.67,-42.5109,-24.2121,-7240.7201,216.9540,0.6515,0,phase,0
117,39.00,5.5267,-16.0435,-7235.1934,200.9105,0.6418,0,phase,0
118,39.33,7.1613,-22.8281,-7228.0321,178.0825,0.5773,0,phase,0
