book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0244,000,97,98,2,crops/000098_012.jpg,0.8913,crops/000098_012.jpg,0.6930,confirmed,1,0,0,7066.4941,58.5000,437.5000
000_book_0245,000,99,111,13,crops/000099_008.jpg,0.8902,crops/000103_007.jpg,0.8494,confirmed,1,0,0,7068.3507,53.7692,405.9231
000_book_0246,000,100,111,12,crops/000100_008.jpg,0.8785,crops/000105_008.jpg,0.8510,confirmed,1,0,0,7085.7291,54.9167,403.5000
000_book_0247,000,97,99,3,crops/000099_009.jpg,0.8859,crops/000099_009.jpg,0.8633,confirmed,1,0,0,7086.4324,57.3333,435.6667
000_book_0248,000,100,112,13,crops/000100_009.jpg,0.8340,crops/000105_009.jpg,0.7947,confirmed,1,0,0,7105.2670,53.0000,376.5385
000_book_0249,000,97,112,16,crops/000100_010.jpg,0.9088,crops/000099_010.jpg,0.8296,confirmed,1,0,0,7118.4855,55.5625,405.6875
000_book_0250,000,97,99,3,crops/000098_015.jpg,0.8981,crops/000099_011.jpg,0.8724,confirmed,1,0,0,7128.5991,63.0000,439.3333
000_book_0251,000,100,112,13,crops/000100_011.jpg,0.8768,crops/000112_003.jpg,0.7759,confirmed,1,0,0,7140.2286,53.8462,410.4615
000_book_0252,000,97,99,3,crops/000098_016.jpg,0.8539,crops/000099_012.jpg,0.8727,confirmed,1,0,0,7150.0991,66.6667,444.0000
000_book_0253,000,97,112,16,crops/000098_017.jpg,0.9259,crops/000099_013.jpg,0.9335,confirmed,1,0,0,7163.8293,60.8750,417.7500
000_book_0254,000,110,113,4,crops/000110_012.jpg,0.8563,crops/000112_005.jpg,0.7412,confirmed,1,0,0,7177.5301,92.0000,402.5000
000_book_0255,000,98,113,16,crops/000100_013.jpg,0.8907,crops/000099_014.jpg,0.9008,confirmed,1,0,0,7191.7596,53.8125,388.6250
