video_id,deva_frame_index,source_frame_index,time_sec,frame_path,has_maskdino_hypotheses
000,0,0,0.00,deva_frames/000000.jpg,1
000,1,5,0.17,deva_frames/000001.jpg,0
000,2,10,0.33,deva_frames/000002.jpg,1
000,3,15,0.50,deva_frames/000003.jpg,0
000,4,20,0.67,deva_frames/000004.jpg,1
000,5,25,0.83,deva_frames/000005.jpg,0
000,6,30,1.00,deva_frames/000006.jpg,1
000,7,35,1.17,deva_frames/000007.jpg,0
000,8,40,1.33,deva_frames/000008.jpg,1
000,9,45,1.50,deva_frames/000009.jpg,0
000,10,50,1.67,deva_frames/000010.jpg,1
000,11,55,1.83,deva_frames/000011.jpg,0
000,12,60,2.00,deva_frames/000012.jpg,1
000,13,65,2.17,deva_frames/000013.jpg,0
000,14,70,2.33,deva_frames/000014.jpg,1
000,15,75,2.50,deva_frames/000015.jpg,0
000,16,80,2.67,deva_frames/000016.jpg,1
000,17,85,2.83,deva_frames/000017.jpg,0
000,18,90,3.00,deva_frames/000018.jpg,1
000,19,95,3.17,deva_frames/000019.jpg,0
000,20,100,3.33,deva_frames/000020.jpg,1
000,21,105,3.50,deva_frames/000021.jpg,0
000,22,110,3.67,deva_frames/000022.jpg,1
000,23,115,3.83,deva_frames/000023.jpg,0
000,24,120,4.00,deva_frames/000024.jpg,1
000,25,125,4.17,deva_frames/000025.jpg,0
000,26,130,4.33,deva_frames/000026.jpg,1
000,27,135,4.50,deva_frames/000027.jpg,0
000,28,140,4.67,deva_frames/000028.jpg,1
000,29,145,4.83,deva_frames/000029.jpg,0
000,30,150,5.00,deva_frames/000030.jpg,1
000,31,155,5.17,deva_frames/000031.jpg,0
000,32,160,5.33,deva_frames/000032.jpg,1
000,33,165,5.50,deva_frames/000033.jpg,0
000,34,170,5.67,deva_frames/000034.jpg,1
000,35,175,5.83,deva_frames/000035.jpg,0
000,36,180,6.00,deva_frames/000036.jpg,1
000,37,185,6.17,deva_frames/000037.jpg,0
000,38,190,6.33,deva_frames/000038.jpg,1
000,39,195,6.50,deva_frames/000039.jpg,0
000,40,200,6.67,deva_frames/000040.jpg,1
000,41,205,6.83,deva_frames/000041.jpg,0
000,42,210,7.00,deva_frames/000042.jpg,1
000,43,215,7.17,deva_frames/000043.jpg,0
000,44,220,7.33,deva_frames/000044.jpg,1
000,45,225,7.50,deva_frames/000045.jpg,0
000,46,230,7.67,deva_frames/000046.jpg,1
000,47,235,7.83,deva_frames/000047.jpg,0
000,48,240,8.00,deva_frames/000048.jpg,1
000,49,245,8.17,deva_frames/000049.jpg,0
000,50,250,8.33,deva_frames/000050.jpg,1
000,51,255,8.50,deva_frames/000051.jpg,0
000,52,260,8.67,deva_frames/000052.jpg,1
000,53,265,8.83,deva_frames/000053.jpg,0
000,54,270,9.00,deva_frames/000054.jpg,1
000,55,275,9.17,deva_frames/000055.jpg,0
000,56,280,9.33,deva_frames/000056.jpg,1
000,57,285,9.50,deva_frames/000057.jpg,0
000,58,290,9.67,deva_frames/000058.jpg,1
000,59,295,9.83,deva_frames/000059.jpg,0
000,60,300,10.00,deva_frames/000060.jpg,1
000,61,305,10.17,deva_frames/000061.jpg,0
000,62,310,10.33,deva_frames/000062.jpg,1
000,63,315,10.50,deva_frames/000063.jpg,0
000,64,320,10.67,deva_frames/000064.jpg,1
000,65,325,10.83,deva_frames/000065.jpg,0
000,66,330,11.00,deva_frames/000066.jpg,1
000,67,335,11.17,deva_frames/000067.jpg,0
000,68,340,11.33,deva_frames/000068.jpg,1
000,69,345,11.50,deva_frames/000069.jpg,0
000,70,350,11.67,deva_frames/000070.jpg,1
000,71,355,11.83,deva_frames/000071.jpg,0
000,72,360,12.00,deva_frames/000072.jpg,1
000,73,365,12.17,deva_frames/000073.jpg,0
000,74,370,12.33,deva_frames/000074.jpg,1
000,75,375,12.50,deva_frames/000075.jpg,0
000,76,380,12.67,deva_frames/000076.jpg,1
000,77,385,12.83,deva_frames/000077.jpg,0
000,78,390,13.00,deva_frames/000078.jpg,1
000,79,395,13.17,deva_frames/000079.jpg,0
000,80,400,13.33,deva_frames/000080.jpg,1
000,81,405,13.50,deva_frames/000081.jpg,0
000,82,410,13.67,deva_frames/000082.jpg,1
000,83,415,13.83,deva_frames/000083.jpg,0
000,84,420,14.00,deva_frames/000084.jpg,1
000,85,425,14.17,deva_frames/000085.jpg,0
000,86,430,14.33,deva_frames/000086.jpg,1
000,87,435,14.50,deva_frames/000087.jpg,0
000,88,440,14.67,deva_frames/000088.jpg,1
000,89,445,14.83,deva_frames/000089.jpg,0
000,90,450,15.00,deva_frames/000090.jpg,1
000,91,455,15.17,deva_frames/000091.jpg,0
000,92,460,15.33,deva_frames/000092.jpg,1
000,93,465,15.50,deva_frames/000093.jpg,0
000,94,470,15.67,deva_frames/000094.jpg,1
000,95,475,15.83,deva_frames/000095.jpg,0
000,96,480,16.00,deva_frames/000096.jpg,1
000,97,485,16.17,deva_frames/000097.jpg,0
000,98,490,16.33,deva_frames/000098.jpg,1
000,99,495,16.50,deva_frames/000099.jpg,0
000,100,500,16.67,deva_frames/000100.jpg,1
000,101,505,16.83,deva_frames/000101.jpg,0
000,102,510,17.00,deva_frames/000102.jpg,1
000,103,515,17.17,deva_frames/000103.jpg,0
000,104,520,17.33,deva_frames/000104.jpg,1
