round,video_id,frame,t_sec,lap_var,contrast_std,brightness
1,011,011_10s.jpg,10,927.2,64.9,133.3
1,016,016_03s.jpg,3,810.1,67.7,133.7
1,029,029_16s.jpg,16,679.6,67.0,131.0
1,033,033_08s.jpg,8,675.0,61.9,124.9
1,005,005_17s.jpg,17,648.9,60.6,141.4
1,034,034_10s.jpg,10,611.5,65.5,119.7
1,010,010_17s.jpg,17,571.6,61.6,119.4
1,039,039_05s.jpg,5,562.5,61.6,128.4
1,027,027_17s.jpg,17,546.4,65.1,120.4
1,028,028_03s.jpg,3,529.2,66.1,128.9
1,043,043_30s.jpg,30,496.6,62.3,124.1
1,012,012_17s.jpg,17,496.0,57.7,142.3
1,003,003_17s.jpg,17,484.8,57.9,132.4
1,036,036_27s.jpg,27,473.7,68.3,111.3
1,014,014_27s.jpg,27,449.3,63.5,113.5
1,018,018_08s.jpg,8,441.1,58.7,137.8
1,032,032_08s.jpg,8,437.1,58.3,122.7
1,019,019_27s.jpg,27,429.9,64.6,132.3
1,038,038_17s.jpg,17,418.0,60.4,106.8
1,026,026_10s.jpg,10,412.1,60.7,126.2
1,013,013_03s.jpg,3,404.8,57.8,108.4
1,006,006_12s.jpg,12,381.3,57.8,137.3
1,017,017_17s.jpg,17,363.0,63.9,117.1
1,015,015_17s.jpg,17,356.6,60.0,117.9
1,009,009_10s.jpg,10,349.5,59.5,110.7
1,023,023_10s.jpg,10,345.3,58.2,129.6
1,025,025_05s.jpg,5,342.2,55.9,115.5
1,022,022_17s.jpg,17,333.2,54.0,113.4
1,008,008_03s.jpg,3,327.1,61.2,128.8
1,037,037_24s.jpg,24,322.5,61.4,127.8
1,021,021_10s.jpg,10,319.7,52.8,93.4
1,007,007_10s.jpg,10,319.3,58.9,109.8
1,030,030_03s.jpg,3,291.7,64.4,92.0
1,020,020_05s.jpg,5,273.3,65.7,110.0
1,004,004_24s.jpg,24,270.0,58.6,121.0
1,001,001_03s.jpg,3,268.9,55.2,125.8
1,031,031_08s.jpg,8,265.8,59.8,126.0
1,044,044_17s.jpg,17,261.3,58.1,116.8
1,042,042_10s.jpg,10,231.6,62.5,111.7
1,002,002_05s.jpg,5,196.8,54.1,126.9
1,045,045_12s.jpg,12,191.9,63.2,123.4
1,041,041_30s.jpg,30,191.4,61.1,118.9
2,005,005_24s.jpg,24,530.7,60.0,130.9
2,029,029_17s.jpg,17,519.2,64.5,126.8
2,039,039_17s.jpg,17,509.8,72.4,125.2
2,011,011_03s.jpg,3,430.8,62.1,137.0
2,018,018_05s.jpg,5,408.0,54.9,132.9
2,036,036_03s.jpg,3,408.0,66.9,120.5
2,028,028_10s.jpg,10,401.3,62.4,113.0
2,011,011_17s.jpg,17,397.7,54.1,128.4
